date,target_group,value,population
2025-04-26,Adults,206,14194251
2025-04-26,Overall,306,19116209
2025-04-26,Pediatrics,100,4921958
2025-05-03,Adults,224,14194251
2025-05-03,Overall,346,19116209
2025-05-03,Pediatrics,122,4921958
2025-05-10,Adults,215,14194251
2025-05-10,Overall,327,19116209
2025-05-10,Pediatrics,112,4921958
2025-05-17,Adults,221,14194251
2025-05-17,Overall,368,19116209
2025-05-17,Pediatrics,147,4921958
2025-05-24,Adults,204,14194251
2025-05-24,Overall,348,19116209
2025-05-24,Pediatrics,144,4921958
2025-05-31,Adults,217,14194251
2025-05-31,Overall,353,19116209
2025-05-31,Pediatrics,136,4921958
2025-06-07,Adults,217,14194251
2025-06-07,Overall,399,19116209
2025-06-07,Pediatrics,182,4921958
2025-06-14,Adults,223,14194251
2025-06-14,Overall,399,19116209
2025-06-14,Pediatrics,176,4921958
2025-06-21,Adults,209,14194251
2025-06-21,Overall,391,19116209
2025-06-21,Pediatrics,182,4921958
2025-06-28,Adults,206,14194251
2025-06-28,Overall,341,19116209
2025-06-28,Pediatrics,135,4921958
2025-07-05,Adults,183,14194251
2025-07-05,Overall,309,19116209
2025-07-05,Pediatrics,126,4921958
2025-07-12,Adults,157,14194251
2025-07-12,Overall,277,19116209
2025-07-12,Pediatrics,120,4921958
2025-07-19,Adults,150,14194251
2025-07-19,Overall,311,19116209
2025-07-19,Pediatrics,161,4921958
2025-07-26,Adults,151,14194251
2025-07-26,Overall,363,19116209
2025-07-26,Pediatrics,212,4921958
2025-08-02,Adults,141,14194251
2025-08-02,Overall,341,19116209
2025-08-02,Pediatrics,200,4921958
2025-08-09,Adults,137,14194251
2025-08-09,Overall,365,19116209
2025-08-09,Pediatrics,228,4921958
2025-08-16,Adults,133,14194251
2025-08-16,Overall,367,19116209
2025-08-16,Pediatrics,234,4921958
2025-08-23,Adults,142,14194251
2025-08-23,Overall,314,19116209
2025-08-23,Pediatrics,172,4921958
2025-08-30,Adults,146,14194251
2025-08-30,Overall,318,19116209
2025-08-30,Pediatrics,172,4921958
2025-09-06,Adults,148,14194251
2025-09-06,Overall,335,19116209
2025-09-06,Pediatrics,187,4921958
2025-09-13,Adults,170,14194251
2025-09-13,Overall,370,19116209
2025-09-13,Pediatrics,200,4921958
2025-09-20,Adults,152,14194251
2025-09-20,Overall,300,19116209
2025-09-20,Pediatrics,148,4921958
2025-09-27,Adults,156,14194251
2025-09-27,Overall,270,19116209
2025-09-27,Pediatrics,114,4921958
2025-10-04,Adults,168,14194251
2025-10-04,Overall,307,19116209
2025-10-04,Pediatrics,139,4921958
2025-10-11,Adults,169,14194251
2025-10-11,Overall,312,19116209
2025-10-11,Pediatrics,143,4921958
2025-10-18,Adults,153,14194251
2025-10-18,Overall,291,19116209
2025-10-18,Pediatrics,138,4921958
2025-10-25,Adults,159,14194251
2025-10-25,Overall,284,19116209
2025-10-25,Pediatrics,125,4921958
2025-11-01,Adults,148,14194251
2025-11-01,Overall,233,19116209
2025-11-01,Pediatrics,85,4921958
2025-11-08,Adults,146,14194251
2025-11-08,Overall,265,19116209
2025-11-08,Pediatrics,119,4921958
2025-11-15,Adults,148,14194251
2025-11-15,Overall,280,19116209
2025-11-15,Pediatrics,132,4921958
