date,target_group,population,value
9/16/23,Florida,23372215,154
9/16/23,Georgia,11180878,34
9/16/23,Maryland,6263220,2
9/16/23,North Carolina,11046024,11
9/23/23,Delaware,1051917,0
9/23/23,Florida,23372215,171
9/23/23,Georgia,11180878,30
9/23/23,Maryland,6263220,6
9/23/23,North Carolina,11046024,13
9/30/23,Delaware,1051917,0
9/30/23,Florida,23372215,168
9/30/23,Georgia,11180878,29
9/30/23,Maryland,6263220,4
9/30/23,North Carolina,11046024,10
10/7/23,Delaware,1051917,2
10/7/23,Florida,23372215,226
10/7/23,Georgia,11180878,34
10/7/23,Maryland,6263220,3
10/7/23,North Carolina,11046024,37
10/14/23,Delaware,1051917,0
10/14/23,Florida,23372215,213
10/14/23,Georgia,11180878,39
10/14/23,Maryland,6263220,3
10/14/23,North Carolina,11046024,20
10/21/23,Delaware,1051917,1
10/21/23,Florida,23372215,290
10/21/23,Georgia,11180878,31
10/21/23,Maryland,6263220,9
10/21/23,North Carolina,11046024,19
10/28/23,Delaware,1051917,1
10/28/23,Florida,23372215,313
10/28/23,Georgia,11180878,40
10/28/23,Maryland,6263220,10
10/28/23,North Carolina,11046024,21
11/4/23,Delaware,1051917,1
11/4/23,Florida,23372215,443
11/4/23,Georgia,11180878,56
11/4/23,Maryland,6263220,15
11/4/23,North Carolina,11046024,46
11/11/23,Delaware,1051917,1
11/11/23,Florida,23372215,462
11/11/23,Georgia,11180878,116
11/11/23,Maryland,6263220,19
11/11/23,North Carolina,11046024,52
11/18/23,Delaware,1051917,2
11/18/23,Florida,23372215,651
11/18/23,Georgia,11180878,133
11/18/23,Maryland,6263220,27
11/18/23,North Carolina,11046024,90
11/25/23,Delaware,1051917,1
11/25/23,Florida,23372215,701
11/25/23,Georgia,11180878,156
11/25/23,Maryland,6263220,22
11/25/23,North Carolina,11046024,156
12/2/23,Delaware,1051917,2
12/2/23,Florida,23372215,743
12/2/23,Georgia,11180878,225
12/2/23,Maryland,6263220,60
12/2/23,North Carolina,11046024,223
12/9/23,Delaware,1051917,10
12/9/23,Florida,23372215,759
12/9/23,Georgia,11180878,261
12/9/23,Maryland,6263220,78
12/9/23,North Carolina,11046024,327
12/16/23,Delaware,1051917,18
12/16/23,Florida,23372215,842
12/16/23,Georgia,11180878,442
12/16/23,Maryland,6263220,115
12/16/23,North Carolina,11046024,421
12/23/23,Delaware,1051917,24
12/23/23,Florida,23372215,988
12/23/23,Georgia,11180878,746
12/23/23,Maryland,6263220,207
12/23/23,North Carolina,11046024,769
12/30/23,Delaware,1051917,60
12/30/23,Florida,23372215,1350
12/30/23,Georgia,11180878,1132
12/30/23,Maryland,6263220,328
12/30/23,North Carolina,11046024,1117
1/6/24,Delaware,1051917,48
1/6/24,Florida,23372215,1411
1/6/24,Georgia,11180878,758
1/6/24,Maryland,6263220,322
1/6/24,North Carolina,11046024,817
1/13/24,Delaware,1051917,34
1/13/24,Florida,23372215,1069
1/13/24,Georgia,11180878,627
1/13/24,Maryland,6263220,245
1/13/24,North Carolina,11046024,530
1/20/24,Delaware,1051917,32
1/20/24,Florida,23372215,907
1/20/24,Georgia,11180878,486
1/20/24,Maryland,6263220,198
1/20/24,North Carolina,11046024,323
1/27/24,Delaware,1051917,28
1/27/24,Florida,23372215,833
1/27/24,Georgia,11180878,455
1/27/24,Maryland,6263220,171
1/27/24,North Carolina,11046024,320
2/3/24,Delaware,1051917,25
2/3/24,Florida,23372215,711
2/3/24,Georgia,11180878,354
2/3/24,Maryland,6263220,113
2/3/24,North Carolina,11046024,267
2/10/24,Delaware,1051917,25
2/10/24,Florida,23372215,827
2/10/24,Georgia,11180878,308
2/10/24,Maryland,6263220,111
2/10/24,North Carolina,11046024,185
2/17/24,Delaware,1051917,36
2/17/24,Florida,23372215,677
2/17/24,Georgia,11180878,259
2/17/24,Maryland,6263220,123
2/17/24,North Carolina,11046024,191
2/24/24,Delaware,1051917,24
2/24/24,Florida,23372215,617
2/24/24,Georgia,11180878,192
2/24/24,Maryland,6263220,118
2/24/24,North Carolina,11046024,169
3/2/24,Delaware,1051917,33
3/2/24,Florida,23372215,536
3/2/24,Georgia,11180878,203
3/2/24,Maryland,6263220,176
3/2/24,North Carolina,11046024,174
3/9/24,Delaware,1051917,26
3/9/24,Florida,23372215,533
3/9/24,Georgia,11180878,156
3/9/24,Maryland,6263220,170
3/9/24,North Carolina,11046024,147
3/16/24,Delaware,1051917,18
3/16/24,Florida,23372215,516
3/16/24,Georgia,11180878,102
3/16/24,Maryland,6263220,114
3/16/24,North Carolina,11046024,100
3/23/24,Delaware,1051917,16
3/23/24,Florida,23372215,419
3/23/24,Georgia,11180878,81
3/23/24,Maryland,6263220,75
3/23/24,North Carolina,11046024,87
3/30/24,Delaware,1051917,15
3/30/24,Florida,23372215,402
3/30/24,Georgia,11180878,64
3/30/24,Maryland,6263220,76
3/30/24,North Carolina,11046024,91
4/6/24,Delaware,1051917,19
4/6/24,Florida,23372215,311
4/6/24,Georgia,11180878,60
4/6/24,Maryland,6263220,88
4/6/24,North Carolina,11046024,79
4/13/24,Delaware,1051917,7
4/13/24,Florida,23372215,324
4/13/24,Georgia,11180878,57
4/13/24,Maryland,6263220,55
4/13/24,North Carolina,11046024,60
4/20/24,Delaware,1051917,8
4/20/24,Florida,23372215,237
4/20/24,Georgia,11180878,40
4/20/24,Maryland,6263220,38
4/20/24,North Carolina,11046024,23
4/27/24,Delaware,1051917,2
4/27/24,Florida,23372215,260
4/27/24,Georgia,11180878,35
4/27/24,Maryland,6263220,20
4/27/24,North Carolina,11046024,14
5/4/24,Delaware,1051917,4
5/4/24,Florida,23372215,140
5/4/24,Georgia,11180878,16
5/4/24,Maryland,6263220,10
5/4/24,North Carolina,11046024,9
5/11/24,Delaware,1051917,1
5/11/24,Florida,23372215,85
5/11/24,Georgia,11180878,7
5/11/24,Maryland,6263220,5
5/11/24,North Carolina,11046024,0
5/18/24,Delaware,1051917,1
5/18/24,Florida,23372215,91
5/18/24,Georgia,11180878,6
5/18/24,Maryland,6263220,0
5/18/24,North Carolina,11046024,0
5/25/24,Delaware,1051917,1
5/25/24,Florida,23372215,97
5/25/24,Georgia,11180878,3
5/25/24,Maryland,6263220,0
5/25/24,North Carolina,11046024,0
6/1/24,Delaware,1051917,0
6/1/24,Florida,23372215,77
6/1/24,Georgia,11180878,5
6/1/24,Maryland,6263220,5
6/1/24,North Carolina,11046024,0
6/8/24,Delaware,1051917,1
6/8/24,Florida,23372215,81
6/8/24,Georgia,11180878,2
6/8/24,Maryland,6263220,3
6/8/24,North Carolina,11046024,0
6/15/24,Delaware,1051917,0
6/15/24,Florida,23372215,80
6/15/24,Georgia,11180878,1
6/15/24,Maryland,6263220,0
6/15/24,North Carolina,11046024,0
6/22/24,Delaware,1051917,0
6/22/24,Florida,23372215,64
6/22/24,Georgia,11180878,2
6/22/24,Maryland,6263220,0
6/22/24,North Carolina,11046024,0
6/29/24,Delaware,1051917,1
6/29/24,Florida,23372215,62
6/29/24,Georgia,11180878,4
6/29/24,Maryland,6263220,2
6/29/24,North Carolina,11046024,0
7/6/24,Delaware,1051917,0
7/6/24,Florida,23372215,56
7/6/24,Georgia,11180878,4
7/6/24,Maryland,6263220,1
7/6/24,North Carolina,11046024,1
7/13/24,Delaware,1051917,0
7/13/24,Florida,23372215,78
7/13/24,Georgia,11180878,0
7/13/24,Maryland,6263220,0
7/13/24,North Carolina,11046024,0
7/20/24,Delaware,1051917,0
7/20/24,Florida,23372215,59
7/20/24,Georgia,11180878,0
7/20/24,Maryland,6263220,0
7/20/24,North Carolina,11046024,2
7/27/24,Delaware,1051917,0
7/27/24,Florida,23372215,41
7/27/24,Georgia,11180878,1
7/27/24,Maryland,6263220,0
7/27/24,North Carolina,11046024,0
8/3/24,Delaware,1051917,0
8/3/24,Florida,23372215,54
8/3/24,Georgia,11180878,3
8/3/24,Maryland,6263220,1
8/3/24,North Carolina,11046024,0
8/10/24,Delaware,1051917,0
8/10/24,Florida,23372215,42
8/10/24,Georgia,11180878,2
8/10/24,Maryland,6263220,0
8/10/24,North Carolina,11046024,1
8/17/24,Delaware,1051917,0
8/17/24,Florida,23372215,45
8/17/24,Georgia,11180878,2
8/17/24,Maryland,6263220,2
8/17/24,North Carolina,11046024,0
8/24/24,Delaware,1051917,0
8/24/24,Florida,23372215,41
8/24/24,Georgia,11180878,2
8/24/24,Maryland,6263220,2
8/24/24,North Carolina,11046024,0
8/31/24,Delaware,1051917,0
8/31/24,Florida,23372215,38
8/31/24,Georgia,11180878,3
8/31/24,Maryland,6263220,0
8/31/24,North Carolina,11046024,0
9/7/24,Delaware,1051917,1
9/7/24,Florida,23372215,55
9/7/24,Georgia,11180878,0
9/7/24,Maryland,6263220,0
9/7/24,North Carolina,11046024,0
9/14/24,Delaware,1051917,0
9/14/24,Florida,23372215,79
9/14/24,Georgia,11180878,3
9/14/24,Maryland,6263220,3
9/14/24,North Carolina,11046024,0
9/21/24,Delaware,1051917,0
9/21/24,Florida,23372215,44
9/21/24,Georgia,11180878,5
9/21/24,Maryland,6263220,5
9/21/24,North Carolina,11046024,0
9/28/24,Delaware,1051917,0
9/28/24,Florida,23372215,46
9/28/24,Georgia,11180878,2
9/28/24,Maryland,6263220,1
9/28/24,North Carolina,11046024,0
10/5/24,Delaware,1051917,0
10/5/24,Florida,23372215,53
10/5/24,Georgia,11180878,1
10/5/24,Maryland,6263220,1
10/5/24,North Carolina,11046024,0
10/12/24,Delaware,1051917,0
10/12/24,Florida,23372215,17
10/12/24,Georgia,11180878,0
10/12/24,Maryland,6263220,0
10/12/24,North Carolina,11046024,77
10/19/24,Delaware,1051917,0
10/19/24,Florida,23372215,134
10/19/24,Georgia,11180878,5
10/19/24,Maryland,6263220,2
10/19/24,North Carolina,11046024,48
10/26/24,Delaware,1051917,0
10/26/24,Florida,23372215,114
10/26/24,Georgia,11180878,8
10/26/24,Maryland,6263220,0
10/26/24,North Carolina,11046024,47
11/2/24,Delaware,1051917,0
11/2/24,Florida,23372215,114
11/2/24,Georgia,11180878,14
11/2/24,Maryland,6263220,4
11/2/24,North Carolina,11046024,14
11/9/24,Delaware,1051917,1
11/9/24,Florida,23372215,365
11/9/24,Georgia,11180878,42
11/9/24,Maryland,6263220,9
11/9/24,North Carolina,11046024,27
11/16/24,Delaware,1051917,4
11/16/24,Florida,23372215,386
11/16/24,Georgia,11180878,44
11/16/24,Maryland,6263220,11
11/16/24,North Carolina,11046024,38
11/23/24,Delaware,1051917,7
11/23/24,Florida,23372215,443
11/23/24,Georgia,11180878,48
11/23/24,Maryland,6263220,16
11/23/24,North Carolina,11046024,31
11/30/24,Delaware,1051917,5
11/30/24,Florida,23372215,612
11/30/24,Georgia,11180878,56
11/30/24,Maryland,6263220,21
11/30/24,North Carolina,11046024,43
12/7/24,Delaware,1051917,15
12/7/24,Florida,23372215,714
12/7/24,Georgia,11180878,88
12/7/24,Maryland,6263220,37
12/7/24,North Carolina,11046024,65
12/14/24,Delaware,1051917,15
12/14/24,Florida,23372215,891
12/14/24,Georgia,11180878,215
12/14/24,Maryland,6263220,73
12/14/24,North Carolina,11046024,176
12/21/24,Delaware,1051917,43
12/21/24,Florida,23372215,1261
12/21/24,Georgia,11180878,397
12/21/24,Maryland,6263220,131
12/21/24,North Carolina,11046024,297
12/28/24,Delaware,1051917,96
12/28/24,Florida,23372215,2077
12/28/24,Georgia,11180878,800
12/28/24,Maryland,6263220,195
12/28/24,North Carolina,11046024,630
1/4/25,Delaware,1051917,185
1/4/25,Florida,23372215,2871
1/4/25,Georgia,11180878,1144
1/4/25,Maryland,6263220,457
